Periodo,Consumo_Privado,Consumo_pct_cambio_trimestral,Consumo_pct_cambio_anual
1995-01-01,139927.4,NA,NA
1995-04-01,142758.5,2.0232634923538884,NA
1995-07-01,147072.2,3.0216764676008756,NA
1995-10-01,147549.6,0.3246024741589526,NA
1996-01-01,149465.6,1.2985463871132197,6.81653486022038
1996-04-01,151144.7,1.123402307955823,5.874396270624871
1996-07-01,153266.4,1.4037541508236773,4.211672906232433
1996-10-01,153494.2,0.14863009766004076,4.028882491040298
1997-01-01,154980.6,0.968375352293438,3.689812237732304
1997-04-01,159562.7,2.9565635957016667,5.569497309531868
1997-07-01,162945.1,2.1197936610498624,6.314952266119644
1997-10-01,163689.6,0.4569023554559237,6.642205373232346
1998-01-01,165553.3,1.1385573671143234,6.821950618335437
1998-04-01,167911,1.4241334965838792,5.231987174947528
1998-07-01,170653,1.6330079625515914,4.730366239917605
1998-10-01,170940.5,0.16847052205353208,4.429664438058367
1999-01-01,171403.7,0.2709714783799111,3.5338468034161963
1999-04-01,174864.6,2.019151278531317,4.1412414910279916
1999-07-01,178918.6,2.31836518083135,4.8435128594281895
1999-10-01,180243.5,0.7405043410802392,5.442244523679296
2000-01-01,181587.7,0.7457689181579408,5.941528683453168
2000-04-01,186047.5,2.4560033526499714,6.395176610932118
2000-07-01,189242.5,1.7173033768258072,5.770165874313782
2000-10-01,190036,0.4193032748986081,5.432928233195655
2001-01-01,190008.7,-0.014365699130680643,4.637428636410945
2001-04-01,193219.3,1.6897121026563378,3.8548220212579976
2001-07-01,194691.2,0.7617769032389754,2.87921582097046
2001-10-01,193654.8,-0.5323301720879137,1.9042707697488837
2002-01-01,194282.1,0.323926904987637,2.2490549116961356
2002-04-01,197428.1,1.6192948295288057,2.1782503093635164
2002-07-01,200751.2,1.6831950467030898,3.11262142305353
2002-10-01,201595.1,0.420371086200233,4.100234024666571
2003-01-01,201625,0.014831709699292261,3.7795041334224733
2003-04-01,205685.9,2.014085554866707,4.182687266908802
2003-07-01,209148.8,1.6835864782175136,4.183088320269057
2003-10-01,207787.7,-0.6507806881990152,3.0718008523024753
2004-01-01,207673.4,-0.05500806833128591,2.9998264104153627
2004-04-01,212416.7,2.2840190414371797,3.27236820802983
2004-07-01,216732.6,2.0318082335334164,3.6260308450251744
2004-10-01,215887.5,-0.3899274959097143,3.898113314695717
2005-01-01,214176.8,-0.792403450871404,3.1315517538596627
2005-04-01,219215.2,2.352449004747492,3.2005487327502857
2005-07-01,225729.8,2.971782978552562,4.151290576498412
2005-10-01,223423.6,-1.02166395398392,3.4907532858549084
2006-01-01,223931.3,0.22723651395823996,4.554414857258116
2006-04-01,228565.4,2.0694293294416743,4.265306420357695
2006-07-01,234703.5,2.68548957978767,3.97541662642682
2006-10-01,231666.2,-1.2941008549084199,3.6892253101283856
2007-01-01,231378.3,-0.124273631630345,3.3255735129479547
2007-04-01,237395.1,2.6004167201505224,3.8630956391474847
2007-07-01,242889,2.314243217319989,3.487591791345257
2007-10-01,238852.5,-1.6618702370218452,3.1020062486456723
2008-01-01,238955.7,0.04320658146763634,3.2748965654946893
2008-04-01,242964.3,1.6775494369876798,2.345962490379949
2008-07-01,248628.9,2.331453633311553,2.3631782419129665
2008-10-01,239539.7,-3.6557294827753273,0.2877089417108847
2009-01-01,233610.8,-2.4751220778852168,-2.236774431411359
2009-04-01,236703.1,1.3236973633068416,-2.5770041113035824
2009-07-01,243085.5,2.6963736427617624,-2.2295879521648465
2009-10-01,238076.9,-2.060427298214007,-0.6106712165039885
2010-01-01,237405.6,-0.28196771715357505,1.6244112001671196
2010-04-01,241526.2,1.7356793605542542,2.037615899411538
2010-07-01,251248.7,4.025443202435186,3.3581599889750846
2010-10-01,246089.1,-2.05358276480635,3.3653832018142094
2011-01-01,245510.3,-0.23519936478292314,3.413862183537364
2011-04-01,251669.2,2.5086116549896342,4.199544397253807
2011-07-01,258753.8,2.815044510810205,2.987119933356852
2011-10-01,250499.2,-3.1901367245621093,1.792074496594931
2012-01-01,245435.1,-2.0216032626052316,-0.03063007947120555
2012-04-01,249119.3,1.5010892899996797,-1.0131950989632488
2012-07-01,254405.5,2.121955223862626,-1.6804777359791356
2012-10-01,247250.6,-2.8123998891533386,-1.29685044902339
2013-01-01,241847.1,-2.185434534840358,-1.461893592236807
2013-04-01,244402.3,1.0565353068116012,-1.8934703172335476
2013-07-01,251987.4,3.103530531422982,-0.9504904571638662
2013-10-01,246330.1,-2.2450725710888686,-0.3722943442806659
2014-01-01,243043.2,-1.334347690355342,0.49456867582866604
2014-04-01,246233.9,1.312811878711262,0.7494201159317981
2014-07-01,252413.5,2.5096463159621774,0.16909575637511498
2014-10-01,248141.4,-1.6925005992151743,0.7353141171135835
2015-01-01,246633.8,-0.6075568204257809,1.4773505286302946
2015-04-01,252652.4,2.4402981262097834,2.606667887727898
2015-07-01,257864.2,2.062834154751747,2.1594328354069825
2015-10-01,252353.5,-2.1370550855838166,1.6974595936026793
2016-01-01,251597.4,-0.29961938312724756,2.0125384274174873
2016-04-01,253439.3,0.7320822870188648,0.3114555808692021
2016-07-01,260450.2,2.766303410718085,1.0028534399113997
2016-10-01,257165.2,-1.2612775878075744,1.906730043371696
2017-01-01,257955.6,0.30735107238459847,2.5271326333261124
2017-04-01,261461.9,1.3592649277627489,3.1654916976175285
2017-07-01,266360.1,1.8733895837213632,2.2691094113193033
2017-10-01,263291.1,-1.1521995974622334,2.3820874675111403
2018-01-01,261677.2,-0.6129717259717338,1.4427289037338253
2018-04-01,265628,1.5097990959854313,1.5933870288558305
2018-07-01,272280.6,2.5044799494029046,2.222742820715262
2018-10-01,268878,-1.2496667041280163,2.1219479124056972
2019-01-01,265582,-1.2258347652094992,1.4922201857861417
2019-04-01,269113.4,1.3296834875857533,1.3121357688195667
2019-07-01,273804,1.7429826980001728,0.5594963431107658
2019-10-01,269301.8,-1.6443149113964828,0.15761795312372318
2020-01-01,247749.5,-8.003028572404636,-6.714498723558071
2020-04-01,220769.2,-10.890153158734927,-17.964248528687165
2020-07-01,253957.2,15.0328940812396,-7.248542753210319
2020-10-01,243744.3,-4.021504410979492,-9.490281906767795
2021-01-01,238607.6,-2.1074133836155307,-3.689977174525072
2021-04-01,255197,6.952586589865528,15.594476041041961
2021-07-01,272669.3,6.846593024212666,7.368210076343562
2021-10-01,271226.9,-0.5289924461609585,11.275176486178351
2022-01-01,272496.6,0.4681320326265448,14.202816674741282
2022-04-01,286708.1,5.215294429361683,12.347754871726547
2022-07-01,301442.8,5.139268824285059,10.552526448705457
2022-10-01,305865.9,1.4673098843296373,12.771225862921408
2023-01-01,301907.6,-1.2941292246046565,10.793162189913552
2023-04-01,306527.7,1.5303026488899363,6.912814810603551
2023-07-01,314413.1,2.5724918172158606,4.302740022319318
2023-10-01,308898,-1.7540935794341794,0.991316782943108
2024-01-01,306364.5,-0.8201736495542233,1.4762463747186372
2024-04-01,310143.4,1.2334653656020933,1.179567132105852
2024-07-01,322006,3.8248758477529954,2.4149439065993095
2024-10-01,318893.5,-0.9665968957100146,3.2358577912450004
2025-01-01,313378.2,-1.7295115767489766,2.2893318253257133
2025-04-01,318603,1.6672506256019126,2.727641471654718
